t,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122,c123,c124,c125,c126,c127,c128,c129,c130,c131,c132,c133,c134,c135,c136,c137,c138,c139,c140,c141,c142,c143,c144,c145,c146,c147,c148,c149,c150,c151,c152,c153,c154,c155,c156,c157,c158,c159,c160,c161,c162,c163,c164,c165,c166,c167,c168,c169,c170,c171,c172,c173,c174,c175,c176,c177,c178,c179,c180,c181,c182,c183,c184,c185,c186,c187,c188,c189,c190,c191,c192,c193,c194,c195,c196,c197,c198,c199,c200,c201,c202,c203,c204,c205,c206,c207,c208,c209,c210,c211,c212,c213,c214,c215,c216,c217,c218,c219,c220,c221,c222,c223,c224,c225,c226,c227,c228,c229,c230,c231,c232,c233,c234,c235,c236,c237,c238,c239,c240,c241,c242,c243,c244,c245,c246,c247,c248,c249,c250,c251,c252,c253,c254
t1,1.28,0.0,2.66,0.28,0.0,6.19,0.86,3.47,1.96,-0.09,97.13,0.0,0.24,33.31,32.49,3.8,0.0,0.81,1.26,82.46,-2.38,0.05,0.43,0.0,0.13,0.99,19.73,30.98,0.84,0.15,5.42,0.46,24.42,0.68,3.57,14.5,0.21,0.27,0.05,-0.06,0.0,1.8,570.32,0.06,2.74,14.48,0.14,0.0,4.98,6.89,0.0,0.0,0.0,0.0,-0.03,5.33,2046.9,0.29,18.78,0.49,372.75,0.14,0.0,0.1,0.97,-0.06,-0.09,0.73,0.26,87.9,1076.49,0.01,-0.08,4.99,3.94,0.45,-0.73,0.0,274.61,0.41,1.9,0.1,3.3,97.06,1.2,3.08,0.0,0.0,2.29,12.03,10.39,0.68,4.03,27.96,-0.22,0.0,0.15,0.21,-0.18,1.7,1992.71,0.66,1.2,0.0,104.33,0.46,13.78,4.04,2.5,0.1,3.61,3.2,-0.29,1.42,-0.12,13.01,22.91,0.0,0.33,0.2,0.07,0.05,6.9,0.0,-0.22,22.07,0.12,-0.01,60.24,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,6.3,0.52,0.53,0.06,0.12,5.58,-0.55,26.57,0.13,0.49,0.5,6.0,0.0,2.38,0.14,0.15,1.52,0.0,0.06,0.08,0.0,0.25,1.77,1.49,-0.45,-0.01,0.82,11.23,0.1,0.0,4.64,163.58,11.13,0.22,0.0,0.13,7.59,1.09,0.42,0.85,1.43,2.04,1.05,1.19,0.0,13.53,1.18,0.1,2.59,983.39,-0.01,5.43,727.41,0.0,0.0,0.17,0.08,0.3,0.21,2.66,48.79,0.0,0.69,0.73,0.09,8.24,-1.13,0.06,0.0,0.0,-0.39,-0.14,1.02,1.46,0.61,2.59,0.0,0.0,0.0,0.0,4.19,482.07,0.73,0.0,0.0,0.0,0.27,0.86,2101.4,0.87,0.32,0.3,0.0,0.08,0.77,9.63,1.32,5.01,0.18,0.0,3.9,4.24,0.9,0.14,-0.17,0.0,0.61,785.61,0.05,-0.21,5.72,2.89,0.49,0.35,0.04,1.77
t2,17.94,-0.05,13.33,1.63,0.28,6.93,5.34,47.84,1.27,3.1,505.48,0.0,6.04,363.56,364.64,33.88,0.0,1.18,3.08,815.48,-6.96,1.24,1.47,2.8,5.1,10.15,81.75,230.83,6.0,0.56,23.38,0.0,27.24,-0.76,15.03,109.31,9.71,0.24,4.63,0.38,0.0,7.1,4444.69,5.55,20.34,131.5,0.89,0.34,54.71,114.43,0.0,0.1,0.0,1.44,-1.17,13.18,11313.26,0.89,71.42,3.56,3513.77,4.42,0.65,2.36,3.46,2.17,2.17,15.15,1.4,561.33,4232.31,0.55,14.45,40.86,21.78,2.84,2.87,0.0,2347.67,10.75,8.7,-1.06,-0.72,616.84,1.23,6.03,0.0,0.0,22.58,34.12,125.93,8.42,28.48,196.95,23.55,2.34,3.41,0.7,0.0,7.0,12032.15,3.04,21.54,0.1,806.44,0.16,116.89,56.4,23.22,8.16,70.99,16.74,5.75,4.36,12.77,179.05,59.6,0.0,8.01,4.45,7.7,0.97,61.22,0.2,8.62,329.78,7.83,1.03,455.61,2.49,0.0,0.0,2.32,0.0,0.0,0.25,1.65,0.0,19.23,0.48,18.03,-0.15,6.68,33.94,1.39,213.54,5.03,3.06,1.23,20.69,0.0,43.28,1.4,-0.11,39.99,0.0,9.29,2.74,-0.3,0.95,19.59,1.83,9.13,0.0,17.66,41.33,-0.15,0.35,21.05,1238.38,64.47,5.27,0.0,1.39,45.55,5.84,-0.21,30.25,10.17,4.69,16.69,25.81,2.58,187.1,13.97,0.8,21.14,868.92,0.62,23.73,1056.02,0.0,0.1,4.89,1.53,1.55,1.78,14.71,361.98,-0.12,8.27,0.61,6.67,40.41,14.7,4.2,1.59,0.32,0.04,8.57,0.03,24.1,5.97,10.99,0.43,0.0,0.0,0.1,14.54,4684.04,13.42,0.0,0.01,0.0,12.87,7.8,7822.21,8.65,3.12,3.78,0.0,-0.38,0.52,80.5,12.84,45.3,100.53,4.38,17.41,25.6,26.34,-0.66,5.03,1.25,0.64,3853.27,8.88,0.2,125.49,26.96,0.16,1.99,0.39,16.13
t3,47.05,3.89,45.64,8.06,9.21,1.35,84.52,108.83,21.92,10.91,432.76,1.4,36.31,1374.35,1558.94,46.92,0.1,34.57,27.64,2083.89,6.52,9.2,-0.18,4.94,9.98,49.92,132.16,249.61,14.81,7.91,129.64,19.01,11.32,12.88,53.09,245.4,47.54,0.58,9.47,3.02,0.1,0.82,7185.64,0.1,60.18,395.8,6.83,1.32,182.94,602.67,0.32,1.18,1.65,18.0,2.98,25.78,15205.24,-0.72,125.51,10.3,6276.69,9.06,2.27,4.47,0.33,11.07,6.79,43.51,0.0,1056.35,2195.14,31.98,58.9,105.63,59.32,0.3,5.19,0.0,4374.66,34.88,33.73,17.46,21.97,1618.42,8.71,11.36,3.62,2.55,37.14,37.59,340.32,64.53,120.97,635.93,79.83,2.78,5.36,10.29,0.0,52.61,20394.33,36.24,37.02,1.28,882.79,3.43,212.39,438.01,83.53,19.47,178.43,59.81,27.14,3.38,21.89,410.67,72.06,-0.06,28.18,21.85,39.8,-0.03,247.2,0.86,26.73,947.25,17.37,6.01,717.02,24.17,0.0,0.0,9.51,0.32,0.0,0.52,16.01,0.0,48.93,24.86,74.31,3.64,20.26,73.3,28.77,466.29,29.72,3.36,9.46,25.68,0.0,182.64,4.92,0.25,155.94,0.04,51.43,4.07,2.16,1.78,91.73,36.41,30.57,0.06,65.93,87.55,0.8,2.35,44.71,2933.92,67.33,9.19,0.72,20.0,144.85,22.8,1.9,122.77,11.95,6.57,128.74,88.07,3.87,695.67,43.24,7.48,93.16,133.03,0.66,61.41,259.97,0.05,1.08,12.93,5.78,8.62,16.64,56.75,638.84,-0.27,39.4,4.68,12.22,116.77,50.85,10.91,1.32,-0.65,0.46,11.88,13.94,162.55,23.63,44.49,4.79,0.0,0.05,1.48,15.72,11281.75,48.65,0.25,0.02,-0.63,69.25,12.41,5193.87,34.79,19.93,28.44,0.15,9.64,11.05,197.77,39.82,233.6,296.54,7.92,75.26,128.49,126.85,3.69,28.5,4.43,7.6,3190.38,53.85,0.03,383.1,66.49,4.31,13.53,4.49,20.56
t4,117.98,47.58,136.87,23.57,10.52,0.1,166.03,125.44,30.52,34.48,189.34,3.97,129.72,1885.96,4230.01,26.85,0.09,55.79,68.84,1723.8,563.86,15.6,1.09,10.45,45.9,104.98,125.71,75.84,48.89,27.23,653.69,54.2,3.81,31.53,24.12,157.17,77.58,3.82,28.99,6.92,0.15,6.65,3465.92,0.34,48.09,460.96,15.54,0.0,166.58,651.86,0.3,7.76,5.44,13.15,8.47,33.54,8405.74,11.62,51.12,21.21,2961.06,32.33,-0.32,39.65,4.59,12.72,7.63,231.19,0.19,599.79,577.24,76.18,88.81,130.43,51.55,1.7,2.54,0.62,2783.66,41.97,67.31,65.43,70.42,1411.92,18.59,13.68,7.82,5.24,69.96,69.72,409.14,203.16,152.41,675.85,103.15,3.88,36.22,10.32,0.21,207.22,15350.18,122.49,27.54,1.42,234.23,11.19,240.16,2098.59,108.02,34.97,160.56,78.56,29.49,16.19,0.4,297.65,38.51,0.23,41.01,30.91,70.01,0.53,589.98,8.11,49.04,900.81,64.66,39.6,407.54,90.89,0.12,0.69,31.79,0.2,0.05,2.61,61.46,3.04,109.86,30.51,111.06,18.48,38.97,47.75,41.8,382.27,77.72,9.89,15.75,34.31,0.0,474.54,10.04,1.52,457.66,-0.42,71.27,16.69,4.68,2.96,148.99,144.08,156.81,0.0,220.12,80.77,8.0,3.79,60.99,2130.76,39.0,37.35,0.76,82.85,182.41,51.19,7.17,335.37,28.1,3.54,275.1,142.0,26.61,596.46,44.99,6.98,160.31,29.12,3.73,33.03,23.49,5.78,1.22,21.51,5.4,23.34,2.88,116.38,324.29,0.59,119.59,9.61,11.39,118.42,123.69,12.03,-0.21,21.23,0.66,62.24,11.53,399.41,37.61,154.5,10.33,0.68,0.23,2.07,22.47,8590.74,103.51,0.04,16.26,2.19,99.0,48.66,1713.27,41.97,61.33,73.98,1.23,32.8,43.79,182.61,115.53,297.52,140.82,9.18,89.15,496.29,155.5,7.65,104.04,20.02,50.0,980.66,140.13,3.68,311.69,71.34,12.65,10.52,30.82,59.93
t5,208.73,47.47,227.92,43.38,23.87,0.09,149.42,59.42,12.39,75.71,41.73,0.35,141.55,777.53,5882.79,9.29,1.71,36.95,103.09,647.89,193.27,20.81,2.54,13.11,69.9,50.58,52.32,13.82,69.46,56.29,1590.08,52.09,3.45,42.93,19.4,80.8,172.97,3.07,37.1,6.17,2.73,5.55,938.09,-0.61,38.22,272.21,30.94,1.69,55.32,231.83,0.0,6.1,6.68,9.48,8.79,20.83,2620.8,24.57,10.0,10.94,715.86,68.94,1.04,43.29,0.09,49.69,23.75,512.41,1.2,149.06,151.87,66.27,61.7,79.2,43.32,5.77,7.04,1.29,919.63,23.51,78.67,82.11,89.47,532.49,36.2,15.78,3.91,16.83,42.02,37.69,220.77,424.2,75.83,335.82,99.64,4.3,23.23,8.73,-0.09,236.52,6183.54,283.28,17.74,10.59,47.68,4.76,132.07,3612.83,64.62,79.15,85.69,73.93,28.01,44.78,0.16,94.15,16.04,1.72,34.84,36.45,129.67,2.3,793.57,18.23,127.94,283.67,89.91,51.09,138.15,114.35,0.65,0.0,31.55,1.65,1.58,-1.9,107.85,0.6,96.67,34.78,40.39,44.46,35.59,10.42,45.96,118.91,78.45,9.15,33.84,14.31,0.0,745.76,9.12,1.84,618.03,2.14,37.76,48.71,19.9,0.16,90.39,195.83,207.45,0.29,424.91,28.25,18.08,10.17,32.83,807.4,45.0,40.76,2.02,174.27,89.17,36.32,22.89,673.2,34.39,0.97,317.92,85.96,60.67,229.12,15.32,34.82,110.7,5.87,3.57,9.77,7.68,8.14,0.97,22.94,12.95,30.26,1.85,45.39,88.03,9.31,223.68,11.41,20.19,52.42,185.69,5.13,4.19,36.72,4.75,89.72,3.34,549.3,13.9,317.24,24.6,1.2,0.45,18.67,27.2,2911.83,253.7,0.0,30.96,1.68,93.62,104.95,439.18,35.25,67.06,155.4,16.8,63.04,65.49,78.9,235.42,143.4,29.66,26.41,57.02,1170.57,68.44,1.51,243.59,12.13,124.47,223.44,238.15,21.04,107.81,72.26,14.53,36.96,72.96,40.9
t6,156.82,46.71,223.64,52.74,22.5,0.24,139.74,17.58,1.77,69.78,9.6,0.96,107.28,229.62,3974.04,4.93,0.14,25.81,143.32,137.4,27.08,16.61,2.77,20.76,67.58,14.05,10.23,10.35,56.78,39.89,1222.92,19.5,0.51,37.82,1.36,15.86,146.3,1.78,36.11,3.33,3.02,5.56,216.17,-0.02,10.85,164.15,12.72,5.25,18.95,54.64,0.15,12.58,4.04,5.32,4.31,8.14,669.08,33.05,0.76,3.53,162.73,50.93,1.19,10.19,-0.63,33.66,26.52,448.1,3.34,31.93,42.37,48.96,21.19,21.51,7.85,5.39,8.52,0.75,254.18,8.9,38.29,47.39,62.91,138.64,13.29,11.74,1.01,25.53,17.45,7.96,52.89,393.86,20.13,157.06,53.43,1.26,9.59,2.44,1.44,132.82,1912.17,223.7,4.89,8.96,16.88,15.87,77.58,2180.06,25.5,52.08,21.74,17.1,30.25,64.48,0.07,27.4,6.25,5.3,12.91,42.62,70.92,6.37,603.31,27.98,149.36,62.66,67.6,26.01,43.8,74.64,1.58,-0.02,25.18,3.49,0.0,0.94,87.17,1.43,52.82,29.69,14.52,31.13,23.72,0.86,17.26,32.29,29.16,6.79,18.62,2.14,0.31,608.06,9.27,2.32,376.59,0.92,10.37,28.25,19.07,0.23,57.65,101.41,173.39,0.56,447.97,14.07,15.28,31.05,14.9,199.27,9.34,29.94,3.23,108.5,33.14,26.89,43.94,901.35,15.65,0.0,197.12,22.31,76.74,45.43,5.64,57.81,29.17,3.16,7.0,1.08,6.31,11.46,3.63,10.53,25.59,21.72,1.67,8.24,32.98,17.51,228.5,9.38,11.45,31.06,215.36,6.33,10.26,24.71,16.29,87.42,0.99,430.8,5.49,155.47,14.76,1.38,1.36,6.85,9.54,725.78,326.67,0.2,51.35,3.04,52.57,175.94,128.72,17.04,57.6,134.11,15.04,56.08,122.32,29.56,217.61,45.2,5.87,17.97,16.91,807.82,22.69,3.72,279.1,18.44,97.13,56.58,149.52,13.05,26.79,31.16,24.15,34.6,65.98,20.22
t7,87.79,19.96,127.67,24.37,8.09,0.0,52.79,6.3,5.19,29.89,4.49,-0.35,42.16,73.65,1969.17,2.5,1.31,8.9,129.24,46.03,9.36,11.29,0.27,12.14,32.76,4.84,-1.02,1.24,41.74,31.86,494.51,6.14,0.0,41.21,0.0,1.12,60.37,3.23,17.45,4.1,3.72,3.42,54.48,0.0,4.47,55.31,3.18,12.11,4.47,18.91,0.15,5.71,12.58,6.95,0.0,-1.17,179.66,29.97,0.0,2.1,38.61,28.59,3.89,3.9,-0.03,15.01,15.63,255.37,3.75,6.2,6.76,14.1,5.43,11.03,3.79,2.88,18.02,3.88,69.12,2.3,19.24,17.39,15.05,32.15,1.88,14.44,1.7,19.28,24.64,1.52,14.73,187.22,2.17,84.61,19.61,0.58,2.54,6.62,6.12,49.54,482.11,128.58,3.6,7.43,3.1,3.0,47.0,760.27,1.84,23.43,10.42,12.48,22.38,70.74,0.0,12.14,1.29,1.17,6.12,33.73,36.62,0.73,285.13,7.8,56.1,17.6,37.19,18.91,13.81,31.85,2.78,0.0,18.07,0.82,0.03,0.83,27.26,11.02,11.4,11.69,3.05,12.11,8.68,0.51,8.19,10.87,8.9,1.84,22.07,1.06,0.03,247.57,9.05,0.7,139.29,3.9,3.12,20.71,13.98,0.0,19.54,26.45,54.35,0.2,256.93,4.17,2.18,46.63,9.31,64.15,1.22,19.97,1.8,24.64,13.66,18.08,25.12,678.8,7.51,0.0,110.56,4.86,65.75,16.1,0.15,55.44,13.46,2.27,3.85,1.36,2.11,6.35,5.25,3.91,36.35,14.55,0.35,1.78,5.37,19.25,92.17,5.59,15.22,7.23,152.9,2.11,8.76,15.81,5.84,24.26,0.68,208.44,1.09,55.82,8.97,1.21,1.66,1.98,1.21,190.3,190.58,0.0,20.3,0.57,31.42,189.14,45.18,8.11,30.36,59.56,6.14,27.39,91.49,16.48,156.28,10.68,0.56,12.25,8.52,293.04,17.45,2.96,186.35,20.18,42.46,11.9,41.53,15.64,6.36,18.55,8.78,11.54,3.87,5.41
t8,54.74,3.96,61.81,14.84,3.29,0.0,16.13,-0.19,0.0,10.14,1.79,3.5,10.3,24.27,727.37,-0.26,2.93,5.33,96.59,9.22,0.0,9.48,0.4,1.75,25.53,0.01,0.91,0.61,12.43,13.96,128.72,2.25,0.0,30.47,0.98,0.14,20.62,12.18,8.82,3.07,9.93,1.01,4.32,0.0,3.3,20.0,3.2,11.32,4.11,3.4,0.1,6.74,4.69,0.58,0.98,1.52,56.06,20.07,0.0,2.09,8.34,14.55,0.05,0.35,0.0,7.24,7.42,98.5,1.35,0.59,1.73,-1.08,-0.3,0.55,3.57,3.12,1.27,1.23,12.76,0.69,12.72,2.99,4.33,13.61,0.34,6.27,0.06,4.13,5.42,-0.3,4.05,66.65,-0.03,30.51,3.15,0.23,0.67,0.18,7.64,20.26,135.62,43.89,0.75,5.4,0.13,-0.05,7.91,197.8,2.47,6.37,3.97,4.49,16.73,53.13,0.0,5.35,1.47,1.19,2.79,11.25,10.92,-0.35,82.94,2.11,19.9,3.02,31.98,10.14,-0.3,18.81,0.0,1.22,24.18,4.71,0.0,2.94,15.22,7.22,3.45,8.03,0.93,-0.17,5.08,0.79,3.62,2.3,1.83,0.39,9.16,1.36,0.0,84.51,1.05,0.03,26.2,0.23,0.0,6.08,9.39,0.0,5.38,3.03,14.63,0.03,98.42,0.0,-0.06,21.59,1.0,12.75,0.19,6.2,0.13,9.56,3.63,3.85,7.27,309.62,3.11,0.0,41.35,2.68,21.73,3.93,-0.08,35.37,10.66,1.31,8.31,-0.06,1.29,-0.14,-0.06,4.07,23.25,4.62,0.0,0.0,2.23,9.92,31.82,1.74,-1.27,1.39,60.52,0.0,5.06,32.9,0.62,2.83,0.0,80.24,0.24,10.73,1.56,2.24,2.99,0.94,5.31,51.24,91.54,0.0,7.1,-0.39,2.44,140.22,22.49,1.39,5.34,33.62,-0.79,6.77,48.65,4.15,55.56,4.06,-0.09,6.44,0.32,34.31,3.35,0.0,121.84,6.17,8.39,5.22,27.02,3.6,0.1,10.25,2.19,12.18,1.61,7.11
t9,21.76,6.0,18.8,4.61,2.9,0.0,4.87,0.06,0.0,1.02,0.45,0.34,8.89,5.62,249.14,0.43,0.84,1.39,42.14,0.61,0.32,0.27,0.0,0.42,9.66,0.0,-0.36,0.22,8.22,2.87,26.43,0.15,0.0,13.57,0.0,-0.13,7.53,5.12,4.57,1.18,1.52,2.37,-0.38,0.03,0.32,2.86,0.23,12.74,0.76,0.0,2.96,-0.01,3.42,1.2,0.84,0.0,12.98,4.66,0.0,0.11,0.56,-1.31,0.0,0.0,0.0,1.02,8.43,22.73,0.0,0.55,4.12,0.0,0.45,0.93,0.13,1.28,0.86,0.01,1.76,0.01,0.97,0.04,2.22,6.88,-0.11,2.07,-0.03,1.63,2.67,0.0,-0.11,34.08,0.0,11.46,3.88,0.03,-0.42,0.0,3.67,7.79,28.18,22.08,0.0,2.7,0.09,0.0,2.79,33.76,0.26,2.36,0.0,0.27,8.19,20.12,0.0,6.71,0.0,-0.3,0.06,5.35,7.43,0.0,32.56,5.18,9.51,3.95,6.29,1.56,0.74,7.01,0.0,-0.67,3.5,2.12,0.0,-0.69,6.28,2.33,4.17,0.33,0.0,-0.09,0.08,0.1,4.42,0.08,0.0,0.03,3.74,-0.12,0.0,10.34,0.0,0.06,7.03,0.0,-0.21,4.27,1.2,0.0,1.2,1.2,0.1,0.02,24.73,0.0,0.0,6.75,2.72,4.06,0.18,9.96,0.0,2.33,3.38,2.47,3.18,154.94,1.55,0.0,12.34,0.19,8.72,-1.33,0.0,6.59,1.76,0.0,1.21,0.0,-0.01,1.82,0.0,0.17,14.2,1.61,0.0,0.45,0.7,4.32,20.99,0.82,1.62,1.05,7.72,0.0,1.9,30.99,0.51,0.01,0.0,18.8,0.0,4.05,2.83,0.91,0.42,-0.06,0.4,2.83,36.66,0.0,1.9,0.07,-0.18,57.4,11.91,0.69,-0.22,5.66,-0.48,1.03,14.85,2.38,13.72,2.4,0.26,7.06,0.0,6.02,0.06,0.0,32.09,6.57,-3.23,3.51,5.03,5.01,0.44,4.97,2.11,3.38,0.0,0.9
t10,3.11,0.0,6.92,3.48,0.2,0.03,1.45,0.0,0.0,0.1,0.0,-0.96,3.37,3.27,71.13,0.0,0.85,0.32,28.87,0.58,0.2,0.0,0.0,0.0,5.03,0.0,2.34,0.0,1.33,-0.3,4.46,0.0,0.0,11.98,0.0,-0.09,1.9,8.15,0.87,0.0,1.83,-0.31,1.48,0.0,0.0,3.97,0.42,17.15,0.0,-0.03,1.15,0.0,8.71,0.0,0.0,0.0,6.83,1.36,0.0,0.0,0.05,1.51,0.0,0.0,0.0,0.32,0.75,9.77,0.0,0.21,0.4,0.0,0.0,0.0,0.0,0.2,1.09,0.0,0.09,0.0,0.0,0.0,0.0,1.05,0.0,0.86,0.0,2.22,-0.29,0.0,2.01,12.85,1.53,5.71,0.68,0.0,0.0,0.0,1.82,0.48,6.73,7.03,0.0,7.86,1.52,0.0,1.97,0.73,0.0,-0.02,-0.06,0.01,0.4,4.95,0.0,0.0,0.0,0.0,0.0,0.78,3.0,0.28,18.49,4.65,5.75,0.06,0.95,0.14,0.0,4.79,0.0,0.0,0.98,1.72,0.0,0.0,0.04,6.88,1.08,0.0,0.0,0.05,0.52,0.0,1.71,0.0,0.0,0.0,0.69,0.52,0.0,-0.11,0.0,0.39,0.83,0.0,-0.03,-0.17,0.2,-0.25,0.24,-0.23,0.05,1.01,6.89,0.05,0.0,1.5,1.44,-0.03,0.0,3.72,0.15,-0.16,-0.79,0.0,1.25,49.45,0.0,0.0,6.57,0.06,4.19,-0.26,0.0,1.87,0.42,0.0,0.0,0.0,0.0,0.17,0.0,1.19,8.19,0.0,0.0,2.28,0.0,0.85,4.03,0.62,0.19,0.0,4.17,0.0,2.19,15.17,-0.07,0.0,0.0,11.63,0.06,0.09,1.04,0.24,0.0,1.09,0.0,2.75,12.24,0.0,0.34,0.0,0.86,7.52,3.59,0.0,0.76,4.57,0.0,0.93,4.47,0.61,3.42,0.44,0.0,4.14,0.0,3.12,-0.03,0.0,7.0,0.49,1.73,1.63,0.87,2.79,0.0,0.34,-0.34,0.66,0.0,0.0
