t,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122,c123,c124,c125,c126,c127,c128,c129,c130,c131,c132,c133,c134,c135,c136,c137,c138,c139,c140,c141,c142,c143,c144,c145,c146,c147,c148,c149,c150,c151,c152,c153,c154,c155,c156,c157,c158,c159,c160,c161,c162,c163,c164,c165,c166,c167,c168,c169,c170,c171,c172,c173,c174,c175,c176,c177,c178,c179,c180,c181,c182,c183,c184,c185,c186,c187,c188,c189,c190,c191,c192,c193,c194,c195,c196,c197,c198,c199,c200,c201,c202,c203,c204,c205,c206,c207,c208,c209,c210,c211,c212,c213,c214,c215,c216,c217,c218,c219,c220,c221,c222,c223,c224,c225,c226,c227,c228,c229,c230,c231,c232,c233,c234,c235,c236,c237,c238,c239,c240,c241,c242,c243,c244,c245,c246,c247,c248,c249,c250,c251,c252,c253,c254
t1,77.0,0.0,100.0,13.0,0.0,343.0,142.0,256.0,39.0,3.0,4989.0,0.0,9.0,1572.0,2192.0,133.0,0.0,57.0,24.0,4160.0,544.0,30.0,1.0,0.0,15.0,116.0,839.0,2977.0,60.0,0.0,118.0,4.0,879.0,3.0,567.0,1010.0,28.0,29.0,12.0,0.0,0.0,9.0,31104.0,24.0,54.0,820.0,23.0,0.0,323.0,549.0,0.0,0.0,0.0,45.0,3.0,84.0,204299.0,12.0,849.0,4.0,23390.0,32.0,0.0,21.0,319.0,0.0,51.0,5.0,0.0,4483.0,190414.0,33.0,31.0,243.0,159.0,0.0,70.0,0.0,15030.0,61.0,18.0,39.0,28.0,3593.0,30.0,63.0,0.0,0.0,92.0,791.0,713.0,35.0,162.0,1107.0,253.0,155.0,14.0,2.0,12.0,61.0,208170.0,73.0,35.0,0.0,11317.0,16.0,852.0,271.0,108.0,11.0,189.0,74.0,53.0,15.0,147.0,1257.0,1108.0,0.0,8.0,5.0,7.0,15.0,149.0,0.0,0.0,1357.0,33.0,36.0,3474.0,127.0,0.0,0.0,23.0,5.0,0.0,21.0,67.0,0.0,66.0,15.0,64.0,0.0,8.0,583.0,19.0,1298.0,9.0,0.0,0.0,153.0,0.0,562.0,22.0,17.0,625.0,0.0,11.0,7.0,0.0,6.0,260.0,8.0,62.0,12.0,16.0,273.0,30.0,0.0,78.0,8378.0,639.0,0.0,0.0,65.0,132.0,12.0,2.0,293.0,58.0,290.0,100.0,37.0,45.0,700.0,151.0,1.0,185.0,85121.0,3.0,145.0,43092.0,0.0,0.0,7.0,7.0,0.0,1.0,11.0,3640.0,6.0,43.0,30.0,9.0,157.0,84.0,4.0,0.0,0.0,0.0,31.0,35.0,310.0,29.0,18.0,0.0,0.0,0.0,4.0,168.0,29184.0,61.0,0.0,0.0,0.0,25.0,70.0,186486.0,10.0,8.0,20.0,0.0,5.0,4.0,737.0,89.0,344.0,653.0,0.0,80.0,147.0,249.0,74.0,69.0,0.0,9.0,37125.0,50.0,0.0,436.0,66.0,3.0,14.0,15.0,64.0
t2,1071.0,0.0,1267.0,44.0,36.0,428.0,556.0,1982.0,47.0,165.0,24268.0,82.0,467.0,19284.0,22684.0,1138.0,0.0,428.0,309.0,33893.0,13130.0,57.0,67.0,90.0,234.0,545.0,4441.0,15062.0,172.0,10.0,1319.0,45.0,1389.0,100.0,1783.0,7365.0,405.0,170.0,96.0,2.0,0.0,5.0,206489.0,230.0,700.0,7189.0,110.0,0.0,2701.0,8795.0,16.0,0.0,0.0,608.0,57.0,360.0,536584.0,48.0,3811.0,104.0,184146.0,213.0,29.0,310.0,744.0,37.0,355.0,291.0,0.0,35284.0,231307.0,523.0,331.0,2267.0,757.0,35.0,133.0,0.0,121584.0,175.0,263.0,435.0,83.0,30600.0,34.0,169.0,0.0,15.0,944.0,2757.0,7318.0,786.0,1665.0,12024.0,1651.0,464.0,122.0,12.0,4.0,910.0,607202.0,518.0,554.0,0.0,66963.0,51.0,6141.0,3241.0,1133.0,324.0,2355.0,721.0,404.0,19.0,586.0,10176.0,3136.0,5.0,412.0,48.0,252.0,34.0,2012.0,11.0,202.0,17219.0,168.0,136.0,26750.0,692.0,0.0,6.0,253.0,18.0,0.0,34.0,983.0,1.0,747.0,94.0,1031.0,2.0,111.0,2214.0,293.0,10509.0,308.0,2.0,24.0,929.0,0.0,5776.0,327.0,51.0,4675.0,1.0,314.0,177.0,3.0,61.0,1692.0,479.0,1191.0,56.0,264.0,2758.0,63.0,0.0,556.0,66048.0,2450.0,114.0,21.0,985.0,3196.0,191.0,49.0,1544.0,83.0,954.0,1284.0,597.0,240.0,10484.0,926.0,45.0,1381.0,24403.0,584.0,767.0,49291.0,0.0,0.0,89.0,45.0,63.0,15.0,464.0,21062.0,0.0,652.0,62.0,17.0,2528.0,536.0,99.0,0.0,26.0,20.0,275.0,348.0,2811.0,274.0,223.0,29.0,0.0,2.0,0.0,1000.0,241056.0,328.0,0.0,55.0,0.0,289.0,327.0,327625.0,267.0,146.0,380.0,0.0,176.0,286.0,4622.0,440.0,3920.0,8208.0,6.0,748.0,1592.0,1557.0,206.0,710.0,0.0,148.0,167121.0,958.0,2.0,5744.0,704.0,26.0,93.0,267.0,943.0
t3,3317.0,92.0,4446.0,193.0,123.0,127.0,2178.0,5532.0,578.0,855.0,19542.0,60.0,976.0,67407.0,99125.0,1560.0,8.0,1618.0,1308.0,82901.0,95457.0,102.0,35.0,412.0,984.0,3140.0,7435.0,11431.0,730.0,263.0,9640.0,376.0,631.0,654.0,1459.0,10768.0,1723.0,103.0,870.0,32.0,0.0,242.0,289158.0,370.0,2788.0,16301.0,912.0,7.0,9723.0,31029.0,4.0,1.0,7.0,1435.0,183.0,1432.0,636769.0,109.0,4111.0,728.0,273706.0,355.0,171.0,1163.0,374.0,223.0,1140.0,1836.0,33.0,51180.0,90573.0,4892.0,1207.0,6644.0,1704.0,146.0,521.0,1.0,221342.0,789.0,1546.0,2399.0,907.0,70747.0,235.0,552.0,0.0,167.0,2273.0,2227.0,21884.0,3444.0,6175.0,33150.0,4559.0,361.0,787.0,31.0,2.0,4471.0,922800.0,2634.0,1653.0,42.0,55960.0,66.0,12751.0,20002.0,4426.0,1907.0,7857.0,2615.0,1132.0,143.0,730.0,22156.0,3026.0,0.0,1885.0,495.0,1675.0,84.0,8719.0,113.0,1091.0,53306.0,708.0,423.0,36131.0,2139.0,7.0,4.0,575.0,4.0,7.0,32.0,4212.0,1.0,2937.0,324.0,3847.0,142.0,599.0,3079.0,1154.0,22739.0,1486.0,10.0,348.0,1925.0,0.0,24286.0,493.0,277.0,22842.0,59.0,2284.0,311.0,59.0,222.0,4127.0,3448.0,4470.0,24.0,1568.0,5154.0,174.0,12.0,1593.0,134540.0,4248.0,277.0,116.0,4788.0,8571.0,793.0,65.0,7988.0,271.0,233.0,4208.0,3749.0,394.0,35429.0,2176.0,71.0,4352.0,4055.0,763.0,2127.0,8739.0,1.0,0.0,156.0,144.0,62.0,49.0,3186.0,30984.0,84.0,2421.0,151.0,254.0,6302.0,2215.0,389.0,28.0,8.0,90.0,892.0,793.0,10319.0,1453.0,1941.0,224.0,0.0,47.0,23.0,982.0,541620.0,1922.0,0.0,347.0,16.0,1285.0,963.0,203051.0,1179.0,1100.0,1682.0,0.0,1015.0,2126.0,12008.0,1989.0,14473.0,18527.0,165.0,2444.0,8174.0,5230.0,662.0,2661.0,18.0,979.0,122185.0,4479.0,76.0,18840.0,1996.0,474.0,507.0,1460.0,3475.0
t4,6579.0,417.0,9299.0,844.0,306.0,64.0,8810.0,5261.0,1276.0,1642.0,5455.0,93.0,3306.0,78651.0,243286.0,1349.0,3.0,2782.0,2805.0,74736.0,77344.0,273.0,45.0,486.0,1440.0,5056.0,4601.0,3011.0,1648.0,783.0,41330.0,1531.0,300.0,1516.0,857.0,5759.0,3945.0,77.0,1582.0,130.0,1.0,376.0,126187.0,358.0,3031.0,18108.0,2018.0,142.0,7125.0,24907.0,7.0,0.0,26.0,880.0,82.0,1900.0,308299.0,715.0,2659.0,1117.0,107287.0,642.0,353.0,2327.0,168.0,759.0,1589.0,6047.0,159.0,23935.0,23618.0,11950.0,3809.0,6998.0,1862.0,294.0,904.0,0.0,121825.0,1322.0,2660.0,3645.0,4308.0,58875.0,1197.0,912.0,0.0,458.0,3379.0,950.0,19514.0,10534.0,6661.0,29678.0,7403.0,143.0,1001.0,69.0,49.0,10142.0,645755.0,6416.0,2071.0,159.0,13009.0,366.0,11352.0,94680.0,7175.0,4046.0,8617.0,5672.0,1877.0,825.0,536.0,14830.0,1607.0,2.0,1821.0,1143.0,4127.0,60.0,23835.0,751.0,4191.0,38532.0,2042.0,1383.0,15427.0,5172.0,30.0,1.0,1565.0,25.0,46.0,254.0,8281.0,5.0,5242.0,1591.0,4799.0,1408.0,1087.0,2055.0,2313.0,16075.0,3353.0,83.0,769.0,1389.0,0.0,54502.0,826.0,663.0,45613.0,17.0,3818.0,627.0,388.0,253.0,5772.0,11016.0,9379.0,29.0,4859.0,3636.0,239.0,34.0,2706.0,90592.0,3887.0,1142.0,157.0,15245.0,9691.0,2166.0,77.0,24477.0,841.0,40.0,10782.0,5915.0,1302.0,29089.0,1673.0,367.0,5236.0,555.0,1101.0,2075.0,1241.0,10.0,36.0,733.0,704.0,339.0,35.0,5057.0,12897.0,303.0,5477.0,346.0,453.0,5214.0,7280.0,522.0,39.0,49.0,198.0,1887.0,455.0,21566.0,2468.0,11770.0,974.0,24.0,11.0,210.0,1203.0,367292.0,5586.0,6.0,1192.0,32.0,4877.0,3624.0,62833.0,2219.0,2887.0,4491.0,26.0,2489.0,5691.0,8605.0,7132.0,18590.0,9346.0,727.0,4207.0,39018.0,7644.0,562.0,7285.0,63.0,2986.0,33041.0,8550.0,229.0,13985.0,2862.0,883.0,930.0,3820.0,3282.0
t5,7064.0,1220.0,11377.0,1408.0,1075.0,19.0,10431.0,2217.0,1141.0,2557.0,1579.0,13.0,4884.0,34883.0,307725.0,658.0,8.0,2511.0,3607.0,27213.0,12185.0,511.0,36.0,702.0,1309.0,1998.0,1865.0,623.0,2367.0,1783.0,91984.0,2837.0,272.0,2909.0,395.0,1811.0,6017.0,23.0,948.0,344.0,84.0,296.0,29850.0,201.0,1639.0,12939.0,1498.0,629.0,2217.0,7579.0,16.0,180.0,74.0,613.0,208.0,674.0,88767.0,1415.0,768.0,592.0,25405.0,1537.0,378.0,1580.0,62.0,2471.0,1870.0,16886.0,35.0,6391.0,5339.0,6320.0,4050.0,3107.0,897.0,350.0,1147.0,9.0,35172.0,1880.0,1947.0,3097.0,5692.0,24538.0,1553.0,862.0,94.0,953.0,2491.0,629.0,9089.0,17680.0,2859.0,15817.0,5934.0,36.0,759.0,150.0,77.0,10794.0,254575.0,11197.0,685.0,132.0,3055.0,254.0,6118.0,222233.0,3709.0,4311.0,4597.0,4548.0,2486.0,1585.0,94.0,5551.0,746.0,30.0,981.0,1842.0,5794.0,84.0,37413.0,1433.0,8185.0,10111.0,2888.0,1940.0,3842.0,5307.0,135.0,0.0,2874.0,48.0,15.0,383.0,5821.0,21.0,4975.0,2527.0,2249.0,2801.0,1797.0,831.0,1790.0,5871.0,3097.0,148.0,1160.0,662.0,0.0,54102.0,634.0,626.0,40456.0,41.0,1590.0,1008.0,575.0,201.0,4512.0,14398.0,9241.0,43.0,12304.0,1467.0,333.0,416.0,2073.0,31710.0,2121.0,2088.0,293.0,17187.0,4104.0,3025.0,488.0,44644.0,1561.0,53.0,14405.0,2914.0,2896.0,9583.0,628.0,1125.0,3560.0,139.0,674.0,772.0,202.0,57.0,108.0,969.0,1899.0,683.0,212.0,1560.0,2666.0,824.0,8684.0,674.0,1092.0,1930.0,12481.0,483.0,89.0,292.0,691.0,2748.0,170.0,28352.0,1271.0,20513.0,959.0,0.0,4.0,232.0,592.0,114870.0,13019.0,46.0,2099.0,168.0,7378.0,8352.0,16832.0,1673.0,3219.0,6739.0,252.0,4819.0,8535.0,3642.0,9961.0,8910.0,2463.0,1120.0,3030.0,79135.0,4448.0,138.0,15475.0,88.0,5897.0,7775.0,9000.0,436.0,5158.0,3369.0,1728.0,1571.0,3728.0,1270.0
t6,4183.0,3264.0,8498.0,1996.0,1603.0,0.0,6007.0,642.0,738.0,1888.0,371.0,32.0,5407.0,9898.0,193433.0,479.0,25.0,1150.0,4714.0,6349.0,1743.0,642.0,18.0,568.0,2124.0,344.0,712.0,220.0,2367.0,2177.0,80429.0,2455.0,101.0,2918.0,133.0,635.0,5091.0,98.0,1122.0,594.0,147.0,487.0,6543.0,87.0,610.0,6668.0,459.0,723.0,510.0,1624.0,5.0,646.0,40.0,174.0,156.0,147.0,20909.0,1696.0,137.0,143.0,5734.0,1756.0,126.0,868.0,0.0,2314.0,1113.0,27207.0,14.0,1498.0,1128.0,1564.0,1463.0,846.0,519.0,309.0,367.0,10.0,9840.0,1483.0,860.0,1531.0,1716.0,7750.0,455.0,791.0,316.0,1305.0,953.0,273.0,3089.0,16520.0,658.0,6858.0,2718.0,70.0,307.0,282.0,19.0,6466.0,80095.0,10192.0,203.0,193.0,822.0,206.0,2745.0,164574.0,1726.0,2723.0,1166.0,1746.0,1842.0,2032.0,21.0,1528.0,261.0,176.0,344.0,1915.0,5078.0,82.0,30250.0,480.0,5685.0,2227.0,2767.0,2028.0,822.0,3423.0,14.0,0.0,2250.0,132.0,0.0,254.0,2552.0,5.0,2938.0,1674.0,757.0,1487.0,1343.0,391.0,1040.0,1363.0,1571.0,239.0,1152.0,441.0,0.0,26214.0,429.0,222.0,18691.0,26.0,699.0,1152.0,471.0,140.0,1876.0,6022.0,5408.0,47.0,18929.0,388.0,143.0,939.0,1310.0,9967.0,745.0,1447.0,172.0,6983.0,1686.0,2545.0,883.0,47215.0,1567.0,49.0,10733.0,850.0,3706.0,2675.0,259.0,1919.0,2641.0,36.0,623.0,202.0,116.0,186.0,170.0,706.0,2510.0,649.0,161.0,118.0,600.0,1031.0,8399.0,673.0,1101.0,795.0,10794.0,320.0,424.0,568.0,621.0,2502.0,11.0,21037.0,173.0,9972.0,649.0,0.0,0.0,179.0,351.0,27052.0,19381.0,55.0,1917.0,232.0,5307.0,11340.0,3958.0,766.0,2310.0,5818.0,692.0,4029.0,5950.0,1428.0,9258.0,2037.0,546.0,1418.0,1563.0,46125.0,2079.0,99.0,18167.0,302.0,4582.0,1675.0,5976.0,803.0,1011.0,2597.0,945.0,1389.0,1162.0,306.0
t7,2687.0,3248.0,3496.0,2180.0,1226.0,0.0,2087.0,164.0,503.0,1085.0,112.0,91.0,2502.0,2439.0,82656.0,190.0,82.0,555.0,6317.0,2025.0,429.0,364.0,0.0,202.0,1186.0,121.0,468.0,97.0,1575.0,1366.0,33998.0,1037.0,18.0,2487.0,72.0,124.0,2561.0,0.0,934.0,391.0,428.0,737.0,1690.0,36.0,377.0,3179.0,259.0,279.0,88.0,588.0,11.0,1377.0,115.0,40.0,0.0,0.0,5473.0,1391.0,29.0,13.0,1076.0,1728.0,32.0,223.0,0.0,959.0,562.0,22276.0,24.0,562.0,291.0,530.0,253.0,303.0,171.0,67.0,139.0,4.0,2184.0,430.0,533.0,754.0,486.0,2415.0,330.0,379.0,257.0,634.0,264.0,208.0,1153.0,9422.0,149.0,3003.0,973.0,6.0,142.0,609.0,49.0,3443.0,22538.0,5169.0,3.0,227.0,289.0,341.0,727.0,55023.0,630.0,743.0,404.0,479.0,646.0,2991.0,0.0,479.0,208.0,86.0,130.0,1052.0,2236.0,51.0,14842.0,269.0,2763.0,362.0,2021.0,1365.0,154.0,1957.0,0.0,5.0,1228.0,99.0,0.0,133.0,1033.0,29.0,1810.0,721.0,261.0,341.0,717.0,241.0,476.0,506.0,816.0,300.0,549.0,224.0,0.0,8484.0,254.0,64.0,5562.0,66.0,165.0,872.0,454.0,7.0,655.0,1917.0,1760.0,139.0,19225.0,55.0,182.0,1312.0,504.0,2769.0,115.0,742.0,16.0,2350.0,478.0,1286.0,1568.0,30738.0,1005.0,4.0,5702.0,151.0,2548.0,603.0,179.0,2128.0,1051.0,12.0,145.0,57.0,9.0,592.0,79.0,736.0,1114.0,279.0,28.0,23.0,55.0,1049.0,3866.0,308.0,518.0,400.0,6511.0,153.0,174.0,952.0,424.0,1174.0,2.0,9305.0,60.0,2567.0,759.0,12.0,12.0,92.0,266.0,5784.0,15328.0,89.0,1027.0,226.0,1927.0,9877.0,1227.0,111.0,885.0,3250.0,477.0,1477.0,2332.0,609.0,6296.0,375.0,187.0,1456.0,723.0,13976.0,530.0,68.0,13073.0,578.0,1941.0,327.0,2080.0,674.0,403.0,1675.0,370.0,699.0,182.0,97.0
t8,1161.0,1364.0,850.0,1017.0,750.0,0.0,670.0,37.0,268.0,229.0,15.0,138.0,1051.0,631.0,28205.0,167.0,136.0,109.0,4811.0,501.0,221.0,317.0,0.0,65.0,1352.0,26.0,128.0,16.0,741.0,1143.0,10688.0,241.0,0.0,1187.0,4.0,73.0,1569.0,8.0,452.0,141.0,255.0,485.0,514.0,20.0,185.0,1220.0,308.0,248.0,74.0,250.0,18.0,958.0,114.0,17.0,0.0,32.0,1147.0,899.0,0.0,10.0,244.0,1242.0,0.0,39.0,0.0,270.0,478.0,10197.0,0.0,129.0,146.0,107.0,143.0,18.0,164.0,57.0,64.0,20.0,718.0,110.0,286.0,162.0,229.0,765.0,40.0,426.0,58.0,455.0,134.0,143.0,339.0,4248.0,109.0,993.0,228.0,0.0,85.0,483.0,172.0,1294.0,6509.0,1995.0,0.0,116.0,127.0,115.0,283.0,13079.0,61.0,313.0,229.0,254.0,233.0,2951.0,0.0,67.0,67.0,72.0,10.0,425.0,672.0,24.0,5340.0,75.0,1234.0,19.0,853.0,776.0,75.0,472.0,0.0,0.0,487.0,86.0,0.0,62.0,378.0,91.0,510.0,121.0,111.0,76.0,492.0,188.0,179.0,142.0,258.0,76.0,432.0,36.0,0.0,2273.0,53.0,40.0,1641.0,45.0,35.0,280.0,244.0,0.0,272.0,648.0,370.0,47.0,9413.0,7.0,244.0,1324.0,45.0,843.0,43.0,222.0,0.0,426.0,121.0,251.0,1710.0,12394.0,476.0,0.0,2355.0,20.0,1001.0,287.0,94.0,1479.0,583.0,5.0,15.0,41.0,18.0,558.0,59.0,365.0,416.0,221.0,9.0,41.0,29.0,646.0,1734.0,172.0,123.0,142.0,2338.0,246.0,105.0,1369.0,180.0,483.0,1.0,4131.0,16.0,536.0,341.0,24.0,2.0,1.0,149.0,1231.0,8030.0,29.0,515.0,42.0,549.0,6185.0,564.0,19.0,242.0,1208.0,366.0,494.0,427.0,321.0,3686.0,152.0,8.0,860.0,229.0,3124.0,317.0,51.0,5492.0,819.0,617.0,129.0,828.0,437.0,103.0,608.0,188.0,424.0,28.0,48.0
t9,597.0,514.0,326.0,350.0,247.0,0.0,113.0,0.0,280.0,94.0,0.0,152.0,336.0,91.0,8016.0,15.0,182.0,71.0,3419.0,207.0,1.0,190.0,0.0,2.0,1706.0,0.0,7.0,10.0,562.0,491.0,2894.0,56.0,2.0,510.0,10.0,84.0,1166.0,79.0,151.0,78.0,239.0,419.0,109.0,7.0,1.0,208.0,220.0,108.0,10.0,40.0,0.0,257.0,285.0,0.0,0.0,0.0,226.0,446.0,0.0,0.0,70.0,512.0,4.0,1.0,0.0,31.0,417.0,2949.0,0.0,0.0,35.0,36.0,113.0,5.0,45.0,60.0,9.0,0.0,405.0,0.0,94.0,0.0,83.0,139.0,6.0,396.0,17.0,166.0,65.0,70.0,33.0,1175.0,17.0,261.0,103.0,0.0,7.0,467.0,264.0,363.0,1952.0,374.0,0.0,187.0,48.0,6.0,220.0,2931.0,0.0,89.0,59.0,51.0,80.0,2183.0,0.0,37.0,150.0,90.0,0.0,120.0,324.0,39.0,1770.0,5.0,696.0,1.0,527.0,132.0,31.0,89.0,12.0,0.0,352.0,67.0,0.0,66.0,182.0,37.0,136.0,38.0,26.0,0.0,290.0,9.0,65.0,16.0,18.0,176.0,367.0,24.0,0.0,493.0,5.0,25.0,387.0,13.0,0.0,102.0,51.0,0.0,109.0,190.0,181.0,10.0,4080.0,15.0,89.0,945.0,5.0,78.0,0.0,39.0,0.0,97.0,34.0,167.0,975.0,4595.0,153.0,0.0,756.0,2.0,471.0,16.0,15.0,836.0,131.0,0.0,1.0,0.0,12.0,192.0,94.0,151.0,264.0,107.0,0.0,26.0,11.0,142.0,709.0,3.0,80.0,80.0,652.0,194.0,48.0,926.0,131.0,94.0,0.0,1551.0,0.0,129.0,67.0,39.0,0.0,0.0,33.0,152.0,4129.0,0.0,245.0,0.0,144.0,2835.0,228.0,32.0,54.0,457.0,24.0,194.0,105.0,101.0,1542.0,36.0,9.0,315.0,52.0,910.0,25.0,7.0,1853.0,788.0,64.0,31.0,423.0,383.0,2.0,259.0,45.0,255.0,4.0,7.0
t10,325.0,133.0,171.0,171.0,29.0,0.0,39.0,0.0,121.0,63.0,0.0,8.0,113.0,0.0,2776.0,13.0,84.0,53.0,2623.0,79.0,7.0,80.0,0.0,0.0,960.0,0.0,0.0,0.0,288.0,127.0,639.0,16.0,0.0,417.0,0.0,17.0,702.0,55.0,140.0,0.0,45.0,137.0,25.0,0.0,12.0,35.0,168.0,40.0,0.0,0.0,0.0,36.0,267.0,0.0,0.0,0.0,26.0,71.0,0.0,0.0,12.0,252.0,0.0,15.0,0.0,17.0,149.0,1047.0,0.0,0.0,0.0,40.0,43.0,8.0,0.0,97.0,0.0,70.0,110.0,3.0,1.0,0.0,47.0,64.0,13.0,269.0,0.0,114.0,4.0,0.0,0.0,228.0,0.0,144.0,43.0,0.0,4.0,49.0,172.0,75.0,506.0,151.0,0.0,44.0,5.0,3.0,67.0,504.0,0.0,0.0,5.0,0.0,63.0,905.0,0.0,34.0,30.0,7.0,0.0,71.0,92.0,31.0,468.0,10.0,237.0,1.0,137.0,34.0,11.0,35.0,0.0,0.0,84.0,0.0,0.0,4.0,61.0,0.0,45.0,20.0,0.0,0.0,97.0,0.0,7.0,10.0,39.0,51.0,93.0,6.0,5.0,38.0,8.0,0.0,96.0,0.0,0.0,12.0,14.0,0.0,21.0,17.0,67.0,0.0,1670.0,0.0,0.0,270.0,2.0,56.0,0.0,44.0,0.0,46.0,0.0,83.0,380.0,1528.0,82.0,0.0,94.0,0.0,203.0,0.0,3.0,539.0,5.0,0.0,0.0,0.0,3.0,22.0,0.0,30.0,116.0,52.0,0.0,0.0,25.0,144.0,184.0,0.0,21.0,0.0,160.0,21.0,42.0,491.0,35.0,119.0,0.0,479.0,0.0,0.0,9.0,161.0,0.0,28.0,19.0,80.0,1745.0,0.0,182.0,0.0,118.0,1159.0,28.0,6.0,2.0,122.0,46.0,10.0,0.0,37.0,910.0,0.0,18.0,159.0,0.0,224.0,21.0,39.0,677.0,418.0,39.0,6.0,90.0,154.0,15.0,54.0,29.0,114.0,0.0,0.0
